symbol,rows,start,end,missing
002625.SZ,3442,2011-11-03,2025-12-31,0
300476.SZ,2568,2015-06-11,2025-12-31,0
300251.SZ,3502,2011-08-03,2025-12-31,0
002384.SZ,3823,2010-04-09,2025-12-31,0
603893.SH,1435,2020-02-07,2025-12-31,0
300803.SZ,1487,2019-11-18,2025-12-31,0
601456.SH,1306,2020-07-31,2025-12-31,0
600522.SH,4859,2006-01-04,2025-12-31,0
601018.SH,3708,2010-09-28,2025-12-31,0
300866.SZ,1300,2020-08-24,2025-12-31,0
600930.SH,115,2025-07-16,2025-12-31,0
601298.SH,1680,2019-01-21,2025-12-31,0
002600.SZ,3515,2011-07-15,2025-12-31,0
601077.SH,1501,2019-10-29,2025-12-31,0
601825.SH,1059,2021-08-19,2025-12-31,0
001391.SZ,245,2024-12-30,2025-12-31,0
302132.SZ,3637,2010-08-27,2025-12-31,0
301236.SZ,924,2022-03-15,2025-12-31,0
688047.SH,857,2022-06-24,2025-12-31,0
601058.SH,3526,2011-06-30,2025-12-31,0
688506.SH,724,2023-01-06,2025-12-31,0
601136.SH,734,2022-12-22,2025-12-31,0
600066.SH,4858,2006-01-04,2025-12-31,0
688472.SH,623,2023-06-09,2025-12-31,0
300394.SZ,2643,2015-02-17,2025-12-31,0
300502.SZ,2392,2016-03-03,2025-12-31,0
600377.SH,4859,2006-01-04,2025-12-31,0
000630.SZ,4849,2006-01-04,2025-12-31,0
601127.SH,2322,2016-06-15,2025-12-31,0
002028.SZ,4859,2006-01-04,2025-12-31,0
002463.SZ,3734,2010-08-18,2025-12-31,0
600482.SH,4849,2006-01-04,2025-12-31,0
688169.SH,1425,2020-02-21,2025-12-31,0
000975.SZ,4854,2006-01-04,2025-12-31,0
002422.SZ,3785,2010-06-03,2025-12-31,0
600160.SH,4859,2006-01-04,2025-12-31,0
600027.SH,4849,2006-01-04,2025-12-31,0
688009.SH,1566,2019-07-22,2025-12-31,0
688082.SH,1001,2021-11-18,2025-12-31,0
603296.SH,583,2023-08-08,2025-12-31,0
600027.SH,4849,2006-01-04,2025-12-31,0
000807.SZ,4859,2006-01-04,2025-12-31,0
600161.SH,4859,2006-01-04,2025-12-31,0
600415.SH,4859,2006-01-04,2025-12-31,0
300442.SZ,2601,2015-04-24,2025-12-31,0
600026.SH,4859,2006-01-04,2025-12-31,0
300832.SZ,1372,2020-05-12,2025-12-31,0
300418.SZ,2662,2015-01-21,2025-12-31,0
600489.SH,4859,2006-01-04,2025-12-31,0
000999.SZ,4859,2006-01-04,2025-12-31,0
300308.SZ,3339,2012-04-10,2025-12-31,0
600372.SH,4841,2006-01-04,2025-12-31,0
600938.SH,899,2022-04-21,2025-12-31,0
688256.SH,1325,2020-07-20,2025-12-31,0
301269.SZ,822,2022-07-29,2025-12-31,0
600515.SH,4856,2006-01-04,2025-12-31,0
688271.SH,816,2022-08-22,2025-12-31,0
600023.SH,2928,2013-12-19,2025-12-31,0
601059.SH,691,2023-02-01,2025-12-31,0
688041.SH,812,2022-08-12,2025-12-31,0
601916.SH,1475,2019-11-26,2025-12-31,0
601872.SH,4639,2006-12-01,2025-12-31,0
000617.SZ,4859,2006-01-04,2025-12-31,0
688223.SH,953,2022-01-26,2025-12-31,0
600875.SH,4859,2006-01-04,2025-12-31,0
601607.SH,4859,2006-01-04,2025-12-31,0
000983.SZ,4858,2006-01-04,2025-12-31,0
600803.SH,4852,2006-01-04,2025-12-31,0
600039.SH,4858,2006-01-04,2025-12-31,0
688187.SH,1046,2021-09-07,2025-12-31,0
600674.SH,4859,2006-01-04,2025-12-31,0
601689.SH,2626,2015-03-19,2025-12-31,0
688303.SH,1079,2021-07-22,2025-12-31,0
605117.SH,1142,2021-04-20,2025-12-31,0
600233.SH,4859,2006-01-04,2025-12-31,0
000792.SZ,4859,2006-01-04,2025-12-31,0
600219.SH,4859,2006-01-04,2025-12-31,0
600188.SH,4859,2006-01-04,2025-12-31,0
002920.SZ,1946,2017-12-26,2025-12-31,0
002648.SZ,3403,2011-12-28,2025-12-31,0
300661.SZ,2086,2017-06-06,2025-12-31,0
300979.SZ,1138,2021-04-26,2025-12-31,0
002920.SZ,1946,2017-12-26,2025-12-31,0
000792.SZ,4859,2006-01-04,2025-12-31,0
600219.SH,4859,2006-01-04,2025-12-31,0
600188.SH,4859,2006-01-04,2025-12-31,0
000408.SZ,4854,2006-01-04,2025-12-31,0
600089.SH,4859,2006-01-04,2025-12-31,0
603260.SH,1987,2017-10-30,2025-12-31,0
300999.SZ,1268,2020-10-15,2025-12-31,0
300896.SZ,1275,2020-09-28,2025-12-31,0
688981.SH,1321,2020-07-16,2025-12-31,0
002466.SZ,3725,2010-08-31,2025-12-31,0
601898.SH,4354,2008-02-01,2025-12-31,0
000301.SZ,4858,2006-01-04,2025-12-31,0
600905.SH,1108,2021-06-10,2025-12-31,0
300782.SZ,1590,2019-06-18,2025-12-31,0
601728.SH,1058,2021-08-20,2025-12-31,0
300316.SZ,3318,2012-05-11,2025-12-31,0
300759.SZ,1681,2019-01-28,2025-12-31,0
300760.SZ,1753,2018-10-16,2025-12-31,0
601868.SH,1033,2021-09-28,2025-12-31,0
002459.SZ,3740,2010-08-10,2025-12-31,0
300750.SZ,1837,2018-06-11,2025-12-31,0
002709.SZ,2904,2014-01-23,2025-12-31,0
605499.SH,1118,2021-05-27,2025-12-31,0
688396.SH,1421,2020-02-27,2025-12-31,0
688126.SH,1375,2020-04-20,2025-12-31,0
688111.SH,1487,2019-11-18,2025-12-31,0
601995.SH,1236,2020-11-02,2025-12-31,0
600426.SH,4859,2006-01-04,2025-12-31,0
300274.SZ,3443,2011-11-02,2025-12-31,0
600600.SH,4859,2006-01-04,2025-12-31,0
688012.SH,1557,2019-07-22,2025-12-18,0
603195.SH,1436,2020-02-06,2025-12-31,0
002049.SZ,4857,2006-01-04,2025-12-29,0
600150.SH,4845,2006-01-04,2025-12-31,0
603392.SH,1378,2020-04-29,2025-12-31,0
600845.SH,4859,2006-01-04,2025-12-31,0
600918.SH,1356,2020-06-03,2025-12-31,0
600845.SH,4859,2006-01-04,2025-12-31,0
600918.SH,1356,2020-06-03,2025-12-31,0
688008.SH,1566,2019-07-22,2025-12-31,0
000977.SZ,4859,2006-01-04,2025-12-31,0
601816.SH,1445,2020-01-16,2025-12-31,0
603369.SH,2798,2014-07-03,2025-12-31,0
601100.SH,3446,2011-10-28,2025-12-31,0
000708.SZ,4859,2006-01-04,2025-12-31,0
002371.SZ,3840,2010-03-16,2025-12-31,0
003816.SZ,1541,2019-08-26,2025-12-31,0
300014.SZ,3931,2009-10-30,2025-12-31,0
300628.SZ,2138,2017-03-17,2025-12-31,0
601658.SH,1471,2019-12-10,2025-12-31,0
300347.SZ,3249,2012-08-17,2025-12-31,0
600183.SH,4859,2006-01-04,2025-12-31,0
600989.SH,1612,2019-05-16,2025-12-31,0
601236.SH,1577,2019-07-05,2025-12-31,0
601698.SH,1582,2019-06-28,2025-12-31,0
603501.SH,2107,2017-05-04,2025-12-31,0
002916.SZ,1955,2017-12-13,2025-12-31,0
000596.SZ,4859,2006-01-04,2025-12-31,0
002938.SZ,1767,2018-09-18,2025-12-31,0
300413.SZ,2662,2015-01-21,2025-12-31,0
300498.SZ,2474,2015-11-02,2025-12-31,0
601319.SH,1730,2018-11-16,2025-12-31,0
603019.SH,2704,2014-11-06,2025-12-31,0
603986.SH,2276,2016-08-18,2025-12-31,0
002179.SZ,4418,2007-11-01,2025-12-31,0
000661.SZ,4859,2006-01-04,2025-12-31,0
002001.SZ,4859,2006-01-04,2025-12-31,0
601138.SH,1838,2018-06-08,2025-12-31,0
002311.SZ,3911,2009-11-27,2025-12-31,0
600760.SH,4859,2006-01-04,2025-12-31,0
601066.SH,1831,2018-06-20,2025-12-31,0
603259.SH,1861,2018-05-08,2025-12-31,0
601360.SH,3392,2012-01-16,2025-12-31,0
600025.SH,1953,2017-12-15,2025-12-31,0
600346.SH,4859,2006-01-04,2025-12-31,0
603288.SH,2896,2014-02-11,2025-12-31,0
601238.SH,3344,2012-03-29,2025-12-31,0
601808.SH,4437,2007-09-28,2025-12-31,0
600176.SH,4859,2006-01-04,2025-12-31,0
600438.SH,4859,2006-01-04,2025-12-31,0
600809.SH,4859,2006-01-04,2025-12-31,0
601360.SH,3392,2012-01-16,2025-12-31,0
600025.SH,1953,2017-12-15,2025-12-31,0
600346.SH,4859,2006-01-04,2025-12-31,0
603288.SH,2896,2014-02-11,2025-12-31,0
601238.SH,3344,2012-03-29,2025-12-31,0
601838.SH,1921,2018-01-31,2025-12-31,0
601012.SH,3338,2012-04-11,2025-12-31,0
002601.SZ,3515,2011-07-15,2025-12-31,0
603799.SH,2656,2015-01-29,2025-12-31,0
600011.SH,4859,2006-01-04,2025-12-31,0
002460.SZ,3740,2010-08-10,2025-12-31,0
601878.SH,2072,2017-06-26,2025-12-31,0
300122.SZ,3708,2010-09-28,2025-12-31,0
300015.SZ,3931,2009-10-30,2025-12-31,0
002352.SZ,3862,2010-02-05,2025-12-31,0
600436.SH,4859,2006-01-04,2025-12-31,0
600919.SH,2288,2016-08-02,2025-12-31,0
600926.SH,2233,2016-10-27,2025-12-31,0
601229.SH,2219,2016-11-16,2025-12-31,0
601881.SH,2172,2017-01-23,2025-12-31,0
002714.SZ,2901,2014-01-28,2025-12-31,0
300033.SZ,3891,2009-12-25,2025-12-31,0
601877.SH,3873,2010-01-21,2025-12-31,0
000938.SZ,4859,2006-01-04,2025-12-31,0
002027.SZ,4859,2006-01-04,2025-12-31,0
600061.SH,4859,2006-01-04,2025-12-31,0
001979.SZ,2422,2015-12-30,2025-12-31,0
601211.SH,2539,2015-06-26,2025-12-31,0
601985.SH,2569,2015-06-10,2025-12-31,0
002736.SZ,2667,2014-12-29,2025-12-31,0
300059.SZ,3837,2010-03-19,2025-12-31,0
600958.SH,2618,2015-03-23,2025-12-31,0
601021.SH,2662,2015-01-21,2025-12-31,0
601788.SH,3978,2009-08-18,2025-12-31,0
601919.SH,4505,2007-06-26,2025-12-31,0
000166.SZ,2659,2015-01-26,2025-12-31,0
600570.SH,4859,2006-01-04,2025-12-31,0
300124.SZ,3708,2010-09-28,2025-12-31,0
601225.SH,2901,2014-01-28,2025-12-31,0
002252.SZ,4252,2008-06-23,2025-12-31,0
002475.SZ,3714,2010-09-15,2025-12-31,0
600018.SH,4665,2006-10-26,2025-12-31,0
002230.SZ,4291,2008-05-12,2025-12-31,0
000333.SZ,2987,2013-09-18,2025-12-31,0
000963.SZ,4859,2006-01-04,2025-12-31,0
603993.SH,3217,2012-10-09,2025-12-31,0
002236.SZ,4285,2008-05-20,2025-12-31,0
600886.SH,4859,2006-01-04,2025-12-31,0
601800.SH,3358,2012-03-09,2025-12-31,0
000725.SZ,4859,2006-01-04,2025-12-31,0
002241.SZ,4283,2008-05-22,2025-12-31,0
601336.SH,3411,2011-12-16,2025-12-31,0
601633.SH,3463,2011-09-28,2025-12-31,0
601669.SH,3454,2011-10-18,2025-12-31,0
601901.SH,3497,2011-08-10,2025-12-31,0
002594.SZ,3526,2011-06-30,2025-12-31,0
601377.SH,3696,2010-10-13,2025-12-31,0
000776.SZ,4859,2006-01-04,2025-12-31,0
002415.SZ,3789,2010-05-28,2025-12-31,0
600115.SH,4859,2006-01-04,2025-12-31,0
600276.SH,4859,2006-01-04,2025-12-31,0
600406.SH,4859,2006-01-04,2025-12-31,0
600887.SH,4859,2006-01-04,2025-12-31,0
600893.SH,4859,2006-01-04,2025-12-31,0
601818.SH,3734,2010-08-18,2025-12-31,0
601288.SH,3758,2010-07-15,2025-12-31,0
002304.SZ,3926,2009-11-06,2025-12-31,0
600999.SH,3919,2009-11-17,2025-12-31,0
601688.SH,3852,2010-02-26,2025-12-31,0
601888.SH,3942,2009-10-15,2025-12-31,0
601618.SH,3954,2009-09-21,2025-12-31,0
601668.SH,3992,2009-07-29,2025-12-31,0
601766.SH,4222,2008-08-18,2025-12-31,0
000100.SZ,4859,2006-01-04,2025-12-31,0
600588.SH,4859,2006-01-04,2025-12-31,0
601186.SH,4333,2008-03-10,2025-12-31,0
601899.SH,4300,2008-04-25,2025-12-31,0
601390.SH,4396,2007-12-03,2025-12-31,0
601601.SH,4380,2007-12-25,2025-12-31,0
601939.SH,4440,2007-09-25,2025-12-31,0
000338.SZ,4541,2007-04-30,2025-12-31,0
000895.SZ,4859,2006-01-04,2025-12-31,0
002142.SZ,4482,2007-07-19,2025-12-31,0
600111.SH,4859,2006-01-04,2025-12-31,0
601009.SH,4488,2007-07-19,2025-12-31,0
601169.SH,4444,2007-09-19,2025-12-31,0
601857.SH,4416,2007-11-05,2025-12-31,0
601088.SH,4425,2007-10-09,2025-12-31,0
000876.SZ,4859,2006-01-04,2025-12-31,0
601328.SH,4535,2007-05-15,2025-12-31,0
601998.SH,4542,2007-04-27,2025-12-31,0
601600.SH,4541,2007-04-30,2025-12-31,0
601318.SH,4583,2007-03-01,2025-12-31,0
601166.SH,4596,2007-02-05,2025-12-31,0
601628.SH,4615,2007-01-09,2025-12-31,0
600547.SH,4859,2006-01-04,2025-12-31,0
601111.SH,4709,2006-08-18,2025-12-31,0
600048.SH,4723,2006-07-31,2025-12-31,0
601398.SH,4664,2006-10-27,2025-12-31,0
601006.SH,4722,2006-08-01,2025-12-31,0
601988.SH,4741,2006-07-05,2025-12-31,0
000768.SZ,4859,2006-01-04,2025-12-31,0
000538.SZ,4859,2006-01-04,2025-12-31,0
600690.SH,4859,2006-01-04,2025-12-31,0
600660.SH,4859,2006-01-04,2025-12-31,0
600585.SH,4859,2006-01-04,2025-12-31,0
600519.SH,4859,2006-01-04,2025-12-31,0
600362.SH,4859,2006-01-04,2025-12-31,0
000858.SZ,4859,2006-01-04,2025-12-31,0
000625.SZ,4859,2006-01-04,2025-12-31,0
000651.SZ,4859,2006-01-04,2025-12-31,0
000568.SZ,4859,2006-01-04,2025-12-31,0
000425.SZ,4846,2006-01-04,2025-12-31,0
000157.SZ,4859,2006-01-04,2025-12-31,0
000063.SZ,4859,2006-01-04,2025-12-31,0
000001.SZ,4859,2006-01-04,2025-12-31,0
600009.SH,4858,2006-01-04,2025-12-31,0
600010.SH,4859,2006-01-04,2025-12-31,0
600015.SH,4859,2006-01-04,2025-12-31,0
600016.SH,4859,2006-01-04,2025-12-31,0
600019.SH,4859,2006-01-04,2025-12-31,0
600028.SH,4859,2006-01-04,2025-12-31,0
600029.SH,4859,2006-01-04,2025-12-31,0
600030.SH,4853,2006-01-04,2025-12-31,0
600031.SH,4859,2006-01-04,2025-12-31,0
600036.SH,4859,2006-01-04,2025-12-31,0
600050.SH,4859,2006-01-04,2025-12-31,0
000858.SZ,4859,2006-01-04,2025-12-31,0
000625.SZ,4859,2006-01-04,2025-12-31,0
000651.SZ,4859,2006-01-04,2025-12-31,0
000568.SZ,4859,2006-01-04,2025-12-31,0
000425.SZ,4846,2006-01-04,2025-12-31,0
000157.SZ,4859,2006-01-04,2025-12-31,0
000063.SZ,4859,2006-01-04,2025-12-31,0
000001.SZ,4859,2006-01-04,2025-12-31,0
000002.SZ,4859,2006-01-04,2025-12-31,0
